study.ID,study,species,treatment,control,N,n,turbine.kW,n.turbines,duration.yrs
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Geothlypis trichas,0.13,0.08,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Sturnella neglecta,0.13,0.35,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Spiza americana,0.14,0.09,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Turdus migratorius a,0.15,0.24,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Calcarius lapponicus,0.15,1.42,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Cistothorus platensis s,0.17,0.03,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Dolichonyx oryzivorus,0.17,0.2,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.","Eremophila	alpestris",0.19,0.82,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Quiscalus quiscula,0.29,0.44,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Molothrus ater,0.31,0.69,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Hirundo rustica,0.59,0.79,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Agelaius phoeniceus,0.72,1.16,16,30,750,73,3
4,"Johnson, G. D., Erickson, W.P, Strickland, M.D., Shepherd, M.F. & Shepherd, D.A. (2000). Avian monitoring studies at the Buffalo Ridge Wind Resource Area, Minnesota: Results of a 4-year study. Technical Report prepared for Northern States Power Co., Minneapolis.",Sturnus vulgaris,1.55,0.88,16,30,750,73,3
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Numenius americanus,0.00001,0.005,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Sayornis saya,0.00001,0.005,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.","Chondestes	grammacus",0.00001,0.005,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Stelgidopteryx serripennis,0.00001,0.006,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.","Calcarius	mccownii",0.00001,0.271,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Cathartes aura,0.005,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Accipiter striatus,0.005,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Buteo swainsoni,0.005,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Phalaropus tricolor,0.005,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Tyrannus tyrannus,0.005,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Contopus cooperi,0.005,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Empidonax occidentalis,0.005,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Empidonax oberholseri,0.005,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Cyanocitta cristata,0.005,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Dumetella carolinensis,0.005,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Catharus guttatus,0.005,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Regulus calendula,0.005,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Coccothraustes vespertinus,0.005,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.","Melospiza	lincolnii",0.005,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.","Ammodramus	bairdii",0.005,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.","Junco	hyemalis",0.005,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.","Poecile	atricapilla",0.005,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Tyrannus verticalis,0.005,0.005,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Riparia riparia,0.005,0.005,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Buteo regalis,0.005,0.015,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Gallinago gallinago,0.006,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Catharus ustulatus,0.006,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Vermivora celata,0.006,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Falco mexicanus,0.006,0.005,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.","Bombycilla	cedrorum",0.008,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Corvus corax,0.008,0.005,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Agelaius phoeniceus,0.008,0.038,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Anas platyrhynchos,0.01,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.","Calamospiza	melanocorys",0.01,0.019,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Circus cyaneus,0.013,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Quiscalus quiscula,0.013,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Aquila chrysaetos,0.013,0.005,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.","Passerculus	sandwichensis",0.013,0.015,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Charadrius vociferus,0.013,0.063,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.","Melospiza	melodia",0.015,0.005,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Hirundo rustica,0.015,0.027,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Salpinctes obsoletus,0.015,0.094,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Vireo gilvus,0.017,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Oporornis tolmiei,0.017,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.","Zonotrichia	leucophrys",0.017,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Falco sparverius,0.017,0.01,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Sturnus vulgaris,0.019,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Buteo jamaicensis,0.023,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Contopus sordidulus,0.027,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Dendroica coronata,0.029,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Pica hudsonia,0.031,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Tachycineta thalassina,0.035,0.025,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Oreoscoptes montanus,0.035,0.142,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Tachycineta bicolor,0.042,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Dendroica petechia,0.044,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Molothrus ater,0.052,0.027,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Branta canadensis,0.054,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Charadrius montanus,0.058,0.038,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Sturnella neglecta,0.075,0.442,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Sialia currucoides,0.096,0.048,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Troglodytes aedon,0.1,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.","Spizella	passerina",0.106,0.00001,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Carduelis tristis,0.115,0.005,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Turdus migratorius,0.148,0.019,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Carduelis pinus,0.165,0.005,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Pipilo chlorurus,0.248,0.027,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Euphagus cyanocephalus,0.385,0.217,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Petrochelidon pyrrhonota,0.41,0.329,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.","Spizella	breweri",0.448,0.771,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.","Pooecetes	gramineus",0.927,1.271,40,320,647,105,1
5,"Johnson, G. D., Young Jr., J.P., Derby, C.E., Erickson, W.P, Strickland, M.D. & Kern, J.W. (2000). Wildlife Monitoring Studies, SeaWest Windpower Plant, Carbon County, Wyoming: 1995 - 1999. Cheyenne, Wyoming, WEST.",Eremophila alpestris,2.077,3.569,40,320,647,105,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.",Carduelis tristis ,0.00001,0.5,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Picoides	pubescens",0.00001,0.5,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Picoides	villosus",0.00001,0.5,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Dryocopus	pileatus",0.00001,0.5,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Agelaius	phoeniceus",0.00001,0.5,21,21,550,11,1
6,"Kerlinger, P. (2002). An Assessment of the Impacts of Green Mountain Power Corporationês Wind Power Facility on Breeding and Migrating Birds in Searsburg, Vermont. Golden, Colorado, National Renewable Energy Laboratory.","Sphyrapicus	varius",0.00001,0.5,21,21,550,11,1
